Category,Type,Subcategory,Sub-Subcategory,Mechanical Property Data Source(s),Name,Treatment or Temper,Treatment Temperature (F),Treatment Temperature (C),Minimum Ultimate Tensile Strength (psi),Maximum Ultimate Tensile Strength (psi),Ultimate Tensile Strength (psi),Minimum Yield Strength (psi),Maximum Yield Strength (psi),Yield Strength (psi),Minimum Ultimate Tensile Strength (MPa),Maximum Ultimate Tensile Strength (MPa),Ultimate Tensile Strength (MPa),Minimum Yield Strength (MPa),Maximum Yield Strength (MPa),Yield Strength (MPa),Minimum Elongation (%),Maximum Elongation (%),Elongation (%),Reduction in Cross Sectional Area (%),Brinell Hardness,Rockwell Hardness,Izod Impact Strength (Ft-lb),Izod Impact Strength (N-m),Water Quenched?,Ultimate Shearing Strength (ksi),Ultimate Shearing Strength (Mpa),Endurance limit (ksi),Endurance limit (MPa)
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4820,Annealed,1500,815.56,,,98750.0,,,67250.0,,,680.9,,,463.7,,,22.3,58.8,197.0,,68.5,92.9,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",5140,Normalized,1600,871.11,,,115000.0,,,68500.0,,,792.9,,,472.3,,,22.7,59.2,229.0,,28.0,38.0,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",5140,Annealed,1525,829.44,,,83000.0,,,42500.0,,,572.3,,,293.0,,,28.6,57.3,167.0,,30.0,40.7,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",5150,Normalized,1600,871.11,,,126250.0,,,76750.0,,,870.5,,,529.2,,,20.7,58.7,255.0,,23.2,31.5,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",5150,Annealed,1520,826.67,,,98000.0,,,51750.0,,,675.7,,,356.8,,,22.0,43.7,197.0,,18.5,25.1,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",5160,Normalized,1575,857.22,,,138750.0,,,77000.0,,,956.6,,,530.9,,,17.5,44.8,269.0,,8.0,10.8,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",5160,Annealed,1495,812.78,,,104750.0,,,40000.0,,,722.2,,,275.8,,,17.2,30.6,197.0,,7.4,10.0,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",6150,Normalized,1600,871.11,,,136250.0,,,89250.0,,,939.4,,,615.4,,,21.8,61.0,269.0,,26.2,35.5,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",6150,Annealed,1500,815.56,,,96750.0,,,59750.0,,,667.1,,,412.0,,,23.0,48.4,197.0,,20.2,27.4,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",8620,Normalized,1675,912.78,,,91750.0,,,51750.0,,,632.6,,,356.8,,,26.3,59.7,183.0,,73.5,99.7,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",8620,Annealed,1600,871.11,,,77750.0,,,55875.0,,,536.1,,,385.2,,,31.3,62.1,149.0,,82.8,112.3,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",8630,Normalized,1600,871.11,,,94250.0,,,62250.0,,,649.8,,,429.2,,,23.5,53.5,187.0,,69.8,94.6,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",8630,Annealed,1550,843.33,,,81750.0,,,54000.0,,,563.6,,,372.3,,,29.0,58.9,156.0,,70.2,95.2,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",8650,Normalized,1600,871.11,,,148500.0,,,99750.0,,,1023.9,,,687.8,,,14.0,40.4,302.0,,10.0,13.6,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",8650,Annealed,1465,796.11,,,103750.0,,,56000.0,,,715.3,,,386.1,,,22.5,46.4,212.0,,21.7,29.4,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",8740,Normalized,1600,871.11,,,134750.0,,,88000.0,,,929.1,,,606.7,,,16.0,47.9,269.0,,13.0,17.6,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",8740,Annealed,1500,815.56,,,100750.0,,,60250.0,,,694.6,,,415.4,,,22.2,46.4,201.0,,29.5,40.0,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",9255,Normalized,1650,898.89,,,135250.0,,,84000.0,,,932.5,,,579.2,,,19.7,43.4,269.0,,10.0,13.6,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",9255,Annealed,1550,843.33,,,112250.0,,,70500.0,,,773.9,,,486.1,,,21.7,41.1,229.0,,6.5,8.8,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",9310,Normalized,1630,887.78,,,131500.0,,,82750.0,,,906.7,,,570.5,,,18.8,58.1,269.0,,88.0,119.3,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",9310,Annealed,1550,843.33,,,119000.0,,,63750.0,,,820.5,,,439.5,,,17.3,42.1,241.0,,58.0,78.6,,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1030,Tempered,400.00,204.44,,,123000.0,,,94000.0,,,848.1,,,648.1,,,17.0,47.0,495.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1030,Tempered,600.00,315.56,,,116000.0,,,90000.0,,,799.8,,,620.5,,,19.0,53.0,401.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1030,Tempered,800.00,426.67,,,106000.0,,,84000.0,,,730.8,,,579.2,,,23.0,60.0,302.0,,,,Yes,,,,
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1030,Tempered,1000.00,537.78,,,97000.0,,,75000.0,,,668.8,,,517.1,,,28.0,65.0,255.0,,,,Yes,,,,
