Category,Type,Subcategory,Mechanical Property Data Source(s),Name,Treatment or temper,"Ultimate Tensile Strength
(psi)","Ultimate Yield Strength
(psi)","Ultimate Tensile Strength
(Mpa)","Ultimate Yield Strength
(Mpa)",Elongation (%),"Reduction in Cross Sectional Area
(%)",Brinell Hardness,"Izod Impact Stength
(Ft-lb)","Izod Impact Stength
(N-m)","Ultimate Shearing Strength
(ksi)","Ultimate Shearing Strength
(Mpa)","Endurance limit
(ksi)","Endurance limit
(MPa)"
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",296.0-T6,,35,,241.32,,2,90,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",308.0-F,,24,,165.47,,,70,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",319.0-F,,28,14,193.05,96.53,1.5,85,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",319.0-T6,,34,,234.42,,2,90,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",332.0-T5,,31,,213.74,,,105,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",333.0-F,,28,,193.05,,,82.5,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",333.0-T5,,30,,206.84,,,87.5,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",333.0-T6,,35,,241.32,,,100,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",333.0-T7,,31,,213.74,,,90,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",336.0-T551,,31,,213.74,,,105,,,,,,,
Metal,Aluminium,Casting Alloys,"Machinery's Handbook 27th edition, Pg. 577",336.0-T65,,40,,275.79,,,125,,,,,,,
